date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:34:35	10278/10278	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.quality-of-service.html	debser/debian-handbook.info/browse/stable/sect.quality-of-service.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:36	6647/6647	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.dynamic-routing.html	debser/debian-handbook.info/browse/stable/sect.dynamic-routing.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:37	10491/10491	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.ipv6.html	debser/debian-handbook.info/browse/stable/sect.ipv6.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:38	14196/14196	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.domain-name-servers.html	debser/debian-handbook.info/browse/stable/sect.domain-name-servers.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:39	8076/8076	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.dhcp.html	debser/debian-handbook.info/browse/stable/sect.dhcp.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:40	16612/16612	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.network-diagnosis-tools.html	debser/debian-handbook.info/browse/stable/sect.network-diagnosis-tools.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:41	65108/65108	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/network-services.html	debser/debian-handbook.info/browse/stable/network-services.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:42	32637/32637	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.http-web-server.html	debser/debian-handbook.info/browse/stable/sect.http-web-server.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:43	5389/5389	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.ftp-file-server.html	debser/debian-handbook.info/browse/stable/sect.ftp-file-server.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:44	14039/14039	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.nfs-file-server.html	debser/debian-handbook.info/browse/stable/sect.nfs-file-server.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:45	15183/15183	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.windows-file-server-with-samba.html	debser/debian-handbook.info/browse/stable/sect.windows-file-server-with-samba.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:46	8768/8768	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.http-ftp-proxy.html	debser/debian-handbook.info/browse/stable/sect.http-ftp-proxy.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:47	29940/29940	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.ldap-directory.html	debser/debian-handbook.info/browse/stable/sect.ldap-directory.html	(from https://debian-handbook.info/browse/stable/index.html)
